,Dominant,Attempts,Duration,Time,AreaError,TimeTriangles_1,TimeTriangles_2,TimeTriangles_3,TimeTriangles_4,TimeTriangles_5,Distance,LeaveSurface,Side,TimeContact,ZeroVel,ZeroAcc
10,-1.0312575156051291,-1.0,-0.8972546067356638,-0.8567497019668077,-0.17471961514689935,-0.9604082325083221,-0.8197697769525281,-0.4662883512555187,-0.7296191749387657,-0.7429667595461705,0.003121492702382762,-0.21411843340695944,-0.41372837849387484,-0.8426080012405058,-0.7532605024395989,-0.9838626268761367
269,-1.0312575156051291,1.0,0.8963922765033372,-0.06419063931802722,-0.3248231346445987,0.024065886915333172,0.48252344108291545,0.081165091171647,-0.4068228973102145,-0.4804858118086803,-0.1572410048161113,-0.21411843340695944,-0.41372837849387484,-0.03046425662130504,-0.2454852029410047,-0.18411662585501992
91,0.9696899027331813,1.0,-0.8972546067356638,-0.3308974184227339,0.4452599514310405,-0.19200281916439213,-0.8253138093835005,-0.10211280042353456,-0.49744752070860454,-0.01536413239820532,0.08752089309684981,-0.1164503760634341,-0.41372837849387484,-0.30212456595681053,-0.5220331347262135,-0.482706004525733
100,-1.0312575156051291,-1.0,-0.8972546067356638,-0.01607343690222976,-0.38745143568345736,0.3060347427240724,0.003888641208955094,0.4351705582905573,-0.24387119352339504,-0.35859537170001415,0.005748254886424333,-0.018782318719908743,-0.41372837849387484,0.009492742750061706,0.18182297259333144,-0.1486015896254638
217,-1.0312575156051291,1.0,-0.7851516765332263,1.8941794990049345,-0.33819426605119146,1.9654617404236183,0.9402757188002127,1.1323622545357461,2.5587600169456732,1.912102827088624,-0.3280402791239452,-0.21411843340695944,2.4170447375168496,1.993866090228651,2.7354980216199594,2.2361673246036227
17,0.9696899027331813,1.0,-0.8972546067356638,0.030668988301688047,0.3047894238477422,0.24512946986938472,-0.329307707892493,-0.2029480985148623,0.018853905166794797,0.1515764703726596,0.16926963122665104,-0.21411843340695944,-0.41372837849387484,0.0652906827006094,-0.18259135892296394,-0.13281712907899426
18,-1.0312575156051291,-1.0,-0.8972546067356638,0.45387124002539353,0.4709946246188982,0.033733390543061376,1.4094856635415198,-0.0754974749616605,-0.2918590893419711,-0.37372542632996014,0.8053359914915006,-0.018782318719908743,-0.41372837849387484,0.42490367704291077,0.24564172608222573,0.2723173582803873
139,0.9696899027331813,1.0,1.6811127879204,0.16860496856030774,-0.5445412419583873,-0.11965766701689276,0.04029445417234127,-0.32433994879219036,0.4973519167102943,0.12590637768589727,0.06072115771525258,-0.21411843340695944,-0.41372837849387484,0.17452224311227496,-0.1788917210395497,0.10658052254245826
90,0.9696899027331813,-1.0,-0.8972546067356638,-0.09443573797938588,-0.37807813465074364,-0.026849632190702025,-0.5017271164957382,0.3652782808581563,-0.24680570513820005,-0.09220440984467267,0.06310599252195276,-0.1164503760634341,-0.41372837849387484,-0.08035139784827777,-0.22421228511137323,-0.2854002476948653
144,-1.0312575156051291,-1.0,0.33587762549114936,-0.11391174848101812,-0.3804521477495958,-0.45721466868506916,-0.13803858902394125,-0.007552660367933215,0.42519745465214753,-0.6338263654739758,0.1995749875644541,-0.21411843340695944,2.4170447375168496,-0.09359158698908576,-0.6487457322331487,-0.372214780700447
178,0.9696899027331813,-1.0,0.5600834858960245,-0.7032329133068822,0.1521974772691724,-0.3958260206489951,-0.5019119175767706,-1.2002654566756554,-0.7014823871026942,-0.3652253956389792,0.6455625039921098,-0.018782318719908743,-0.41372837849387484,-0.9111732664339756,-0.206639005165156,-0.6076663171852824
96,-1.0312575156051291,-1.0,-0.8972546067356638,-1.090461827986396,-0.10954967460171855,-0.7354776481031793,-1.0566847628360867,-0.8057960394643024,-0.985266922087367,-1.0277177876940307,-0.0028874365444147877,-0.21411843340695944,-0.41372837849387484,-1.0844778850091936,-0.878123281004827,-1.0812001335793646
194,0.9696899027331813,-1.0,-0.336739955723476,-0.0976435514737724,-0.33571511835414547,0.27977135786874413,-0.20900220414038942,-0.4859793644021084,-0.27166274469890134,0.0998962837714957,-0.18598882670016456,-0.21411843340695944,-0.41372837849387484,-0.11912623747492959,-0.14467007061796874,0.051334910629815336
275,0.9696899027331813,1.0,0.6721864160984621,-0.4846433366179731,0.22065825573103456,-0.3824526406306377,-0.7186835856277959,-0.16551353506035651,-0.295829310938472,-0.915857383800722,-0.005045142296400316,-0.21411843340695944,-0.41372837849387484,-0.4598246759017908,-0.5701284272105976,-0.6563350705368964
226,0.9696899027331813,-1.0,-0.22463702552103845,-0.09810181054439895,-0.10503401945724444,0.04436764453356239,-0.446286792186013,-0.42041478216676015,-0.168436983189878,0.10142628929587227,-0.3285680006295249,-0.21411843340695944,-0.41372837849387484,-0.06120040998389482,-0.5904764355693756,0.01581987440025922
216,-1.0312575156051291,-1.0,-0.7851516765332263,1.9232789499897267,-0.5067134702498302,2.4842844351116984,1.0164137641855686,1.0830265292893455,2.2401065792439057,1.702492070249035,-0.35361654615347965,-0.21411843340695944,2.4170447375168496,2.024602243591241,2.900131907431889,2.2348519528914172
198,0.9696899027331813,-1.0,-0.22463702552103845,1.0670218765238426,-0.23795252416330487,0.7578294122599037,1.607592422408271,0.4102863109075043,1.1921406960979513,0.6393082314211437,-0.3255531133526866,-0.1164503760634341,-0.41372837849387484,1.1107927609265504,0.6683253542622939,1.2588461424347253
271,0.9696899027331813,1.0,-0.11253409531860088,1.604559766368896,-0.4778981316504376,1.4730635556513285,0.9596798323086164,1.8098629376343451,1.5945140239868032,1.1195599654615647,-0.2743859829909097,-0.1164503760634341,-0.41372837849387484,1.5976061438001852,2.047365375304924,1.0562788987550347
310,0.9696899027331813,1.0,-0.6730487463307887,-1.2164830724087232,1.4570979998033828,-1.0991369095662218,-0.8868525693672954,-0.8927827129250616,-0.8314639898055278,-1.1334581694898331,0.35325919194819405,-0.21411843340695944,-0.41372837849387484,-1.214988320825729,-0.7014655720718005,-1.0943538507014225
58,-1.0312575156051291,1.0,-0.8972546067356638,-1.2054848547136836,0.16848388223773203,-1.2576839690609642,-1.1335620125455723,-1.021748029797232,-0.8464817845401182,-0.8840672690164535,-0.3778946754694553,-0.1164503760634341,2.4170447375168496,-1.2060039067658952,-0.8365023548164174,-0.9562398209198152
193,-1.0312575156051291,1.0,-0.336739955723476,-0.4864763729004796,-0.1961684495221209,-1.1832441911274572,-0.5074559500077431,-0.36631859220360147,0.13191891150192905,-0.36250538581786534,-0.2425882438752283,-0.21411843340695944,-0.41372837849387484,-0.4692819538595107,-0.5682786082688905,-0.3840531261102992
84,0.9696899027331813,1.0,-0.8972546067356638,0.032043765513567704,-0.4864413036404931,-0.05810789392035654,-0.2250798981902097,0.14283474772964788,0.23013874143275562,-0.17312470202281086,-0.28945295999607296,-0.018782318719908743,-0.41372837849387484,0.009729174699004826,-0.3620237962685509,0.16314150616730716
303,0.9696899027331813,1.0,0.8963922765033372,-1.0902326984510828,0.4033035417830535,-0.9112650890673704,-1.0243445736554138,-1.1338353354008965,-0.8226604549611128,-0.46705576331693044,-0.336859911009309,-0.1164503760634341,-0.41372837849387484,-1.0854236128049657,-0.6357969996411991,-0.848379340518941
218,0.9696899027331813,-1.0,2.241627438932588,-0.45943908773350767,-0.2369012873033438,-0.5223091931117724,-0.0737278128246601,-0.5682055731461096,0.2242697182031456,-0.4216655994270924,-0.2714795506119862,-0.1164503760634341,-0.41372837849387484,-0.47306486504259876,-0.03553075305725073,-0.29197710625589424
272,-1.0312575156051291,-1.0,-0.11253409531860088,1.3690146040668012,-0.3416228642994121,2.6454094955738356,0.6773037804910831,1.7434328163595865,0.5066733065455572,0.4555375678821366,-0.29691200732679873,-0.018782318719908743,-0.41372837849387484,1.4297394600506554,1.6413301176002195,0.9221109841100443
7,-1.0312575156051291,1.0,-0.8972546067356638,-0.21427048494825332,0.0006450289278608778,-0.026366257009315615,0.18222168440523762,0.24345366106112298,-0.7960772320975851,-0.5183959486904551,0.13221937344791826,-0.21411843340695944,-0.41372837849387484,-0.1787070886085652,-0.4295421876408594,-0.1920088561282547
257,-1.0312575156051291,1.0,0.6721864160984621,-0.15194725134302947,-0.6265446376886906,0.006503255324960272,-0.17167238577184118,-0.02962390587290195,-0.18604405287870804,-0.34057530663513463,-0.33540053686489935,-0.21411843340695944,-0.41372837849387484,-0.11865337357704368,-0.25658411659124714,-0.26303892858736694
179,0.9696899027331813,1.0,0.5600834858960245,-1.0737353719085234,1.256921158231205,-0.8023445481949659,-1.1110162806596173,-1.1193375564907702,-1.1171473264233098,-0.9947376686130248,-0.39095749646013395,-0.018782318719908743,-0.41372837849387484,-1.3168904908201615,-0.7218135804305784,-0.9049403241437897
35,-1.0312575156051291,1.0,-0.8972546067356638,-0.4488991291090948,-0.3422572547804223,-0.6955186331085693,-0.3542558538318693,-0.1685429216982934,-0.14375256195945935,-0.3171152219280273,-2.0374421950399038,-0.21411843340695944,-0.41372837849387484,-0.4215227001730249,0.37142941411830727,0.6998131647472671
69,-1.0312575156051291,-1.0,-0.8972546067356638,-0.33662565680556694,-0.7124711135373982,-0.6281683578353962,-0.5495905964831342,-0.4788386673269715,0.14624623291538882,0.21617670362411445,-0.3620321874324198,-0.21411843340695944,2.4170447375168496,-0.30543461324201254,0.3335081258133121,-0.10650969483487867
32,0.9696899027331813,-1.0,-0.8972546067356638,-0.6072276380106002,-0.421278976154341,-0.5485725779671007,-0.0478556614801217,-1.004437249009021,-0.4817392526528836,-0.34754533180173897,-1.9516229644180987,0.07888573862361661,-0.41372837849387484,-0.7234462989732344,0.454671266495126,0.5090842664774282
62,-1.0312575156051291,1.0,-0.8972546067356638,0.040521558320160724,-0.31643124504804815,-0.17830718902511053,0.10442042929059,-0.018371898360564947,0.16402592093450152,-0.17686471552684246,-0.3442760232282943,-0.21411843340695944,-0.41372837849387484,0.08373237471816335,-0.4961356695423143,-0.027587392102531666
99,0.9696899027331813,1.0,-0.8972546067356638,-0.41017623764114347,0.441065044261273,-0.3790690143609329,-0.5686251078294732,-0.3252054878316009,-0.48346543595571007,0.10176629052351151,-0.015605610871941455,-0.21411843340695944,-0.41372837849387484,-0.3810928369037722,-0.3795970762147681,-0.41036056035441476
185,-1.0312575156051291,1.0,1.1205981369082123,2.8436922933433406,-0.09116414458287832,2.7515909104183836,2.9475850609743275,1.8332324916984297,1.7585014377553185,1.8136724716870651,0.17770413264123544,1.8369107708070729,-0.41372837849387484,2.4520712072801825,2.8279889687053132,3.527862345989703
154,0.9696899027331813,-1.0,-0.44884288592591354,-0.5969168089215008,-0.22808511467031548,-0.8771065762493974,-0.632381480785657,-0.4671538902949292,-0.5212688502876099,-0.33428528392380874,-0.04014018038324737,-0.1164503760634341,-0.41372837849387484,-0.5865522005352382,-0.8300279885204427,-0.6760656462199832
120,-1.0312575156051291,-1.0,-0.336739955723476,1.1451550480656854,0.17080891401813464,0.5050241923948112,1.48137328406313,0.8488982191287947,0.91301685603091,0.8266489078503628,0.3875925739748575,-0.018782318719908743,-0.41372837849387484,1.0552312529249455,1.107657352917726,0.6169447468783026
249,-1.0312575156051291,1.0,-0.44884288592591354,-0.11162045312788503,-0.2769208471344746,-0.14382642608621327,0.5059931783740325,-0.1267806630467349,-0.3117101973244756,-0.4539657160528199,-0.3496187340042601,-0.1164503760634341,-0.41372837849387484,-0.10163027325314747,-0.17611699262698913,-0.25909281345074964
75,0.9696899027331813,-1.0,-0.8972546067356638,0.44241476325972745,-0.12517610020076123,0.10656191787194716,-0.013667461489124533,1.2442331753795584,-0.23282362038530557,1.025889627246955,0.5312055477740393,0.27422185331066734,-0.41372837849387484,0.4215936297577088,1.049388056253953,0.3117785096465606
245,-1.0312575156051291,1.0,1.9053186483252753,0.07443272954653245,-0.39428687657871175,0.5124359451760695,-0.043050833373278856,0.4423112553656942,-0.29651978425960257,-0.23126491194912022,0.1783726497453287,-0.018782318719908743,-0.41372837849387484,-0.034247167804392936,0.05326055614468914,-0.46034468541823453
137,-1.0312575156051291,1.0,-0.44884288592591354,0.48319982054549876,-0.05222069248268928,1.431009914870711,0.3293233449070416,0.7774912483774253,-0.21124632909997462,0.06453615609701516,-0.0043568476929477405,-0.21411843340695944,-0.41372837849387484,0.5360266930461203,0.8403585158410529,0.42358510518405224
169,-1.0312575156051291,1.0,-0.0004311651161633194,0.6637538943723963,-0.4420793682641653,0.8522486976907158,0.17057921630019535,0.3983851491156094,0.5382624609872818,0.2561268478717247,-0.17091180562523137,-0.21411843340695944,-0.41372837849387484,0.7270637077920633,-0.48966130324633955,0.7169129970059421
31,-1.0312575156051291,1.0,-0.8972546067356638,-0.21976959379577293,-0.33162435268351254,-0.501846310433081,0.06635140659791208,0.06991308365931,-0.10905627757264716,-0.41826558715070006,-0.36439381884844374,-0.21411843340695944,-0.41372837849387484,-0.18438145538319706,-0.44989019599963725,-0.10782506654708443
109,-1.0312575156051291,1.0,0.33587762549114936,-1.07969273982667,0.13322318440309813,-0.6350967354352681,-1.0596415801326053,-0.7413133810282173,-1.1223258763317894,-0.8895072886586812,0.054346048719881745,-0.21411843340695944,-0.41372837849387484,-1.0731291514599297,-0.6811175637130226,-0.9444014755099631
253,-1.0312575156051291,1.0,-0.5609458161283511,3.26024978854296,-0.472938154503663,4.901643717225135,1.5157462851351595,2.62087301756202,3.9649089354281215,2.481434882770525,1.9837469364451084,12.678065135938388,-0.41372837849387484,3.0485890144633685,3.4338046721143827,1.0457559250573882
67,0.9696899027331813,-1.0,-0.8972546067356638,-0.04838070138140807,-0.4448195885674745,-0.7714085365862358,-0.08592468417279962,0.9493007477004173,0.9333858190042624,-0.18349473946580755,-0.07854731608735599,-0.21411843340695944,2.4170447375168496,-0.020061250867813147,0.5295889336342627,0.13551870021098558
300,-1.0312575156051291,-1.0,-0.7851516765332263,-0.6450340113372984,-0.15762647314394274,-0.607866600217167,-0.6807993640161504,-0.29188223481429515,-0.25405567501007126,-0.6535464366770515,-0.30358768852129286,-0.018782318719908743,-0.41372837849387484,-0.6463694836178169,-0.3721978004479398,-0.49059823479896764
222,0.9696899027331813,-1.0,1.9053186483252753,-0.5476539588291366,-0.3158071716861687,-0.5261761945628637,-0.7375332958931023,-0.6415600067361528,-0.2165974973387367,-0.4119755644393742,-0.06251058585300331,-0.018782318719908743,-0.41372837849387484,-0.5517967040406173,-0.4600642001790262,-0.49585972164779074
130,0.9696899027331813,-1.0,0.33587762549114936,-0.37236986431444524,-0.10402014418821365,-0.09677790843126935,0.1495118930624998,1.1050977747943143,-0.6184529702367406,-0.5726261444989132,0.6880007810776042,-0.21411843340695944,-0.41372837849387484,-0.3458644765112655,-0.052179123532614606,-0.34985346159294867
201,-1.0312575156051291,1.0,-0.22463702552103845,1.092913514014248,-0.5708129450157903,1.1338953033785308,0.9070115242143776,1.0233043355700182,0.8572611353496148,0.35931722046023284,-0.3560403634047335,-0.21411843340695944,-0.41372837849387484,1.1642263813876679,0.42414925395695935,1.302253408937516
270,0.9696899027331813,-1.0,-0.11253409531860088,1.6098297456811022,-0.7546973446368326,1.0829797842724955,0.9186539923194198,1.9163242394818416,1.6003830472164131,1.5382714772992838,-0.2467870078306513,0.07888573862361661,-0.41372837849387484,1.5715986294164548,2.199050528524905,1.3851218268064807
195,0.9696899027331813,1.0,-0.336739955723476,-0.16454937578526244,-0.4263744920089259,-0.48041667739161686,-0.5638202797226303,0.3321714126007032,0.08910956559183242,-0.172614700181352,-0.04455193718806336,-0.21411843340695944,-0.41372837849387484,-0.18343572758742524,-0.09195023077931685,0.09605754884481221
227,0.9696899027331813,1.0,-0.22463702552103845,-0.4635634193691474,0.2574867370594862,-0.19828669652241548,-0.7565678072394414,-0.7114522841685538,-0.4246025853293272,-0.227354897831269,-0.2912353837719027,-0.21411843340695944,-0.41372837849387484,-0.4371272088032629,-0.7144143046637501,-0.2735619022850132
111,0.9696899027331813,1.0,1.3448039973130874,-1.1456820459969066,0.34342195430649225,-0.6531427422070274,-0.9228887801686168,-1.0834176863552327,-1.0933259968443045,-0.6846565490060416,0.020176912192539437,-0.21411843340695944,-0.41372837849387484,-1.1407486888576275,-0.6154489912824211,-1.0075393176958407
292,-1.0312575156051291,-1.0,0.8963922765033372,-1.0052256408498403,0.6250059302925352,-1.0292086333256545,-0.8720684828847021,-0.6497826276105528,-0.8763447556790163,-0.9134773752072474,-0.3845348750254336,-0.21411843340695944,-0.41372837849387484,-1.0017267028791441,-1.0140849732202974,-0.7773492680598285
246,0.9696899027331813,-1.0,-0.44884288592591354,-0.1666115416030821,0.10077293721522519,-0.06729202236669833,-0.0748366193108546,0.7790059416963937,-0.41683476046660806,-0.7184866711561455,0.03504505559340039,0.07888573862361661,-0.41372837849387484,-0.2985780867226658,-0.30097977119221714,-0.2577774417385439
317,0.9696899027331813,-1.0,-0.5609458161283511,-0.20762572842416685,-0.2958133490539833,-0.0320056341254904,-0.562341871074371,-0.297291853810611,-0.7701844825551879,0.0913962530805148,0.2540953243699286,-0.21411843340695944,-0.41372837849387484,-0.28060925860299774,-0.4036447224569602,-0.1814858824306084
0,0.9696899027331813,-1.0,-0.8972546067356638,-0.2894249725310226,-0.48768587771105465,-0.0737370247851838,-0.8162585564129121,-0.5450524038418777,-0.13840139372069726,-0.18247473578288986,0.4728995623486221,-0.21411843340695944,-0.41372837849387484,-0.3139461634039605,-0.3444505163223336,-0.5445284749994048
268,-1.0312575156051291,-1.0,0.8963922765033372,-0.23351736591457212,-0.1949548760445103,0.20968195656771466,-0.39269447868661206,-1.0574515151729165,-0.4278823336046975,0.1741865520106688,0.09547300847829941,-0.21411843340695944,-0.41372837849387484,-0.23119498127391092,-0.5849269787442543,-0.37089940898824125
101,-1.0312575156051291,1.0,-0.8972546067356638,0.0909300560890916,0.6408820092646477,0.41898341010803025,-0.3052835673582788,0.16901730367181667,-0.09403848283805681,0.1808165759496339,0.03848460638434426,-0.21411843340695944,-0.41372837849387484,0.1333830839961933,-0.12987151908431205,-0.06704854346870505
290,0.9696899027331813,-1.0,0.8963922765033372,-0.8173394218929164,-0.3909244403257373,-0.6388026118258973,-0.9201167639531305,-0.9278370440211884,-0.5297271484714596,-0.7314067178064365,-0.4134950524723479,-0.21411843340695944,-0.41372837849387484,-0.8052517533075121,-0.7088648478386289,-0.5169056690430833
